"Kod";"Nazwa";"Okresy";"Wskaźnik cen";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2008";101,3;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2009";101,9;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2010";101,3;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2011";101,5;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2012";101,2;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2013";100,4;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2014";100,1;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2015";100,5;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2016";100,5;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2017";100,2;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2018";100,4;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2019";101,5;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2020";100,5;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2021";101,6;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2022";105,5;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2023";101,7;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2024";101,3;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2025";100,5;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2005";99,6;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2006";100,5;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2007";99,9;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2008";100,5;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2009";100,2;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2010";100,0;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2011";99,7;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2012";99,5;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2013";100,4;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2014";99,5;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2015";99,7;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2016";99,7;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2017";99,8;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2018";100,0;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2019";100,3;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2020";100,1;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2021";100,7;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2022";102,8;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2023";99,6;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2024";101,5;"-";"";
0200000;"DOLNOŚLĄSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2025";100,4;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2005";100,4;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2006";100,3;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2007";101,7;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2008";100,8;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2009";100,0;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2010";100,9;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2011";101,2;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2012";100,3;"-";"";
